Cyber Resilience Assessment Framework (C-RAF) 2.0 Control Principle,,,,,
,,,,,
REF,Domain,Component,Sub-component,Maturity Level,Control Principle
156,Domain 3 Protection,3.1 Access Control,3.1.6 Wireless access management,Intermediate,"The information system protects wireless access to the system using authentication of users and devices, as well as encryption."
157,Domain 3 Protection,3.1 Access Control,3.1.6 Wireless access management,Advanced,Strict controls are in place to identify and limit the configuration of the wireless network by users.
158,Domain 3 Protection,3.1 Access Control,3.1.7 Mobile access management,Baseline,"Usage restrictions, configuration requirements, connection requirements, and implementation guidance have been established."
159,Domain 3 Protection,3.1 Access Control,3.1.7 Mobile access management,Baseline,Authorisation of the connection of mobile devices to organisational information systems is required.
160,Domain 3 Protection,3.1 Access Control,3.1.7 Mobile access management,Intermediate,Controls are in place to protect the confidentiality and integrity of information on mobile devices.
161,Domain 3 Protection,3.1 Access Control,3.1.7 Mobile access management,Advanced,"The unauthorised use of mobile devices in facilities containing information systems that process, store, or transmit classified information unless specifically permitted by the authorising personnel is prohibited."
162,Domain 3 Protection,3.1 Access Control,3.1.8 Cryptographic keys management,Baseline,Controls are in place to prevent unauthorised access to cryptographic keys.
163,Domain 3 Protection,3.1 Access Control,3.1.8 Cryptographic keys management,Baseline,"A cryptographic key management policy and procedures covering key generation, distribution, installation, renewal, revocation, and expiry should be established."
164,Domain 3 Protection,3.2 Infrastructure protection control,3.2.1 Network protection,Baseline,Network perimeter defence tools (e.g. border router and firewall) are used.
165,Domain 3 Protection,3.2 Infrastructure protection control,3.2.1 Network protection,Baseline,"Based on a risk-based approach, all network ports of high risks are monitored on an on-going basis."
166,Domain 3 Protection,3.2 Infrastructure protection control,3.2.1 Network protection,Baseline,Strong encryption is required for authentication and data transmission over the wireless network. (*N/A if there are no wireless networks.).
167,Domain 3 Protection,3.2 Infrastructure protection control,3.2.1 Network protection,Baseline,There is a firewall at each Internet connection and between any Demilitarised Zone (DMZ) and internal networks.
168,Domain 3 Protection,3.2 Infrastructure protection control,3.2.1 Network protection,Baseline,Firewalls or similar devices protect systems that are accessed from the Internet or by external parties.
169,Domain 3 Protection,3.2 Infrastructure protection control,3.2.1 Network protection,Baseline,Changes to firewall rules are reviewed before becoming effective.
170,Domain 3 Protection,3.2 Infrastructure protection control,3.2.1 Network protection,Baseline,The firewall rules are regularly audited or verified on a risk-based approach at least annually.
171,Domain 3 Protection,3.2 Infrastructure protection control,3.2.1 Network protection,Baseline,Intrusion detection/prevention systems (IDS/IPS) are in place to detect and/or block actual and attempted attacks or intrusions.
172,Domain 3 Protection,3.2 Infrastructure protection control,3.2.1 Network protection,Baseline,"Technical controls are in place to prevent unauthorised devices, including rogue wireless access devices, from connecting to internal networks."
173,Domain 3 Protection,3.2 Infrastructure protection control,3.2.1 Network protection,Baseline,Control measures are in place to prevent the unauthorised addition of new external connections and the removal of existing external connections.
174,Domain 3 Protection,3.2 Infrastructure protection control,3.2.1 Network protection,Baseline,Tools have been installed to block access attempts by unregistered devices to internal networks.
175,Domain 3 Protection,3.2 Infrastructure protection control,3.2.1 Network protection,Intermediate,"A risk-based solution is in place for the Internet hosting provider, such as a smart web content delivery process, to mitigate the risk of any cyber attacks (e.g. DDoS attacks)."
176,Domain 3 Protection,3.2 Infrastructure protection control,3.2.1 Network protection,Intermediate,Guest wireless networks are fully segregated physically from the internal network(s). (*N/A if there are no wireless networks.).
177,Domain 3 Protection,3.2 Infrastructure protection control,3.2.1 Network protection,Intermediate,"The enterprise network is segmented in multiple, separate trust or security zones with defence-in-depth strategies (e.g. logical network segmentation, hard backups, air-gapping, etc.) to mitigate the risk of cyber attacks."
178,Domain 3 Protection,3.2 Infrastructure protection control,3.2.1 Network protection,Intermediate,"Security controls have been implemented for remote access to all administrative consoles, including restricted virtual systems."
179,Domain 3 Protection,3.2 Infrastructure protection control,3.2.1 Network protection,Intermediate,Wireless network environments have perimeter firewalls that are implemented and configured to restrict unauthorised traffic. (*N/A if there are no wireless networks.).
180,Domain 3 Protection,3.2 Infrastructure protection control,3.2.1 Network protection,Intermediate,Wireless networks use strong encryption with encryption keys that are changed frequently. (*N/A if there are no wireless networks.).
181,Domain 3 Protection,3.2 Infrastructure protection control,3.2.1 Network protection,Intermediate,Anti-spoofing measures are in place to detect and block forged source IP addresses from entering the network.
182,Domain 3 Protection,3.2 Infrastructure protection control,3.2.1 Network protection,Advanced,Tools are installed and/or processes are in place to block attempted access from unpatched employee-owned devices and unauthorised devices.
183,Domain 3 Protection,3.2 Infrastructure protection control,3.2.1 Network protection,Advanced,Network environments and network devices (e.g. firewalls) are designed and configured to restrict and monitor traffic between trusted and untrusted zones.
184,Domain 3 Protection,3.2 Infrastructure protection control,3.2.1 Network protection,Advanced,"On a regular or as-needed basis (such as when new technologies are adopted), changes in third parties, business nature, the network segmentation approach and enforcement effectiveness are assessed and reviewed to identify gaps in architecture, configurations, processes etc., and a remediation plan is agreed with Senior Management."
185,Domain 3 Protection,3.2 Infrastructure protection control,3.2.2 System configuration,Baseline,"Systems configurations (for servers, desktops, routers, etc.) are implemented according to industry standards and are properly enforced on an on-going basis."
186,Domain 3 Protection,3.2 Infrastructure protection control,3.2.2 System configuration,Baseline,"Ports, functions, protocols and services are blocked, disabled, or removed if they are no longer needed for business purposes."
187,Domain 3 Protection,3.2 Infrastructure protection control,3.2.2 System configuration,Baseline,Access to make changes to systems configurations (including virtual machines and hypervisors) is controlled and monitored.
188,Domain 3 Protection,3.2 Infrastructure protection control,3.2.2 System configuration,Baseline,"Programmes that can override system, object, network, virtual machine, and application controls are restricted, and proper authorisation is needed for their use."
189,Domain 3 Protection,3.2 Infrastructure protection control,3.2.2 System configuration,Baseline,"Administrative, physical, or technical controls are in place to prevent users without administrative authorisation from installing software."
190,Domain 3 Protection,3.2 Infrastructure protection control,3.2.2 System configuration,Baseline,"Documented hardening standards are in place for operating systems and network devices used in the organisation, and a process to ensure all devices (in data and voice networks) are hardened in line with these standards."
191,Domain 3 Protection,3.2 Infrastructure protection control,3.2.2 System configuration,Baseline,Public-facing servers are routinely checked for integrity to limit the window of time in which a system may be exposed to potential threats.
192,Domain 3 Protection,3.2 Infrastructure protection control,3.2.2 System configuration,Baseline,System sessions are locked after a pre-defined period of inactivity and are terminated after pre-defined conditions are met.
193,Domain 3 Protection,3.2 Infrastructure protection control,3.2.2 System configuration,Intermediate,"Critical systems supported by legacy technologies are regularly reviewed to identify potential vulnerabilities, upgrade opportunities, or new defence layers."
194,Domain 3 Protection,3.2 Infrastructure protection control,3.2.2 System configuration,Intermediate,Controls for unsupported systems are implemented and such controls are tested regularly to validate their effectiveness.
195,Domain 3 Protection,3.2 Infrastructure protection control,3.2.2 System configuration,Advanced,"Technical measures are in place to prevent the execution of unauthorised code on owned or managed devices, and systems components."
196,Domain 3 Protection,3.2 Infrastructure protection control,3.2.2 System configuration,Advanced,The institution proactively seeks to identify control gaps that may be used as part of a zero-day attack.
197,Domain 3 Protection,3.2 Infrastructure protection control,3.2.3 Virtualisation security,Baseline,Controls are in place to restrict administrative access to the hypervisor and host operating system.
198,Domain 3 Protection,3.2 Infrastructure protection control,3.2.3 Virtualisation security,Baseline,"Policies are in place to govern the security, creation, distribution, storage, use, retirement, and destruction of virtual machine images and snapshots."
199,Domain 3 Protection,3.2 Infrastructure protection control,3.2.4 Internet of Things (IoT) Security,Baseline,"An inventory is maintained and regularly updated to monitor all IoT devices, the networks which they are connected to, and their physical or logical locations."
200,Domain 3 Protection,3.2 Infrastructure protection control,3.2.4 Internet of Things (IoT) Security,Baseline,"A process is in place to assess and implement controls to mitigate risks arising from IoT, commensurate with the function and criticality of the data that is collected, stored, and processed by the IoT devices (e.g. network segmentation, ongoing logging and monitoring for anomalous system activities or user behavioural patterns, and strong authentication and network access controls)."
201,Domain 3 Protection,3.3 Data protection,3.3.1 End point data security,Baseline,Controls are in place to restrict the use of removable media to authorised personnel only.
202,Domain 3 Protection,3.3 Data protection,3.3.1 End point data security,Baseline,Controls are in place to prevent unauthorised individuals from copying confidential data to removable media.
203,Domain 3 Protection,3.3 Data protection,3.3.1 End point data security,Baseline,"Antivirus and anti-malware tools are deployed on end-point devices that do not support sandboxing architecture (e.g. workstations, laptops, and mobile devices)."
204,Domain 3 Protection,3.3 Data protection,3.3.1 End point data security,Baseline,Mobile devices with access to the institution’s data are centrally managed (e.g. for antivirus and patch deployment where applicable). (*N/A if mobile devices are not used.).
205,Domain 3 Protection,3.3 Data protection,3.3.1 End point data security,Baseline,Institution data on a mobile device can be wiped remotely when that device is reported missing or stolen. (*N/A if mobile devices are not used.).
206,Domain 3 Protection,3.3 Data protection,3.3.1 End point data security,Baseline,A control process is in place to destroy or wipe data on hardware and portable/mobile media when no longer needed.
207,Domain 3 Protection,3.3 Data protection,3.3.1 End point data security,Intermediate,Data loss prevention controls or devices have been implemented for outbound communications.
208,Domain 3 Protection,3.3 Data protection,3.3.1 End point data security,Intermediate,"Mobile device management controls are in place, including integrity scanning (e.g. jailbreak/rooted detection). (*N/A if mobile devices are not used.)."
209,Domain 3 Protection,3.3 Data protection,3.3.1 End point data security,Intermediate,"If mobile devices are allowed to connect to the corporate network for storing and accessing institution information, capabilities for remote software version/patch validation are in place. (*N/A if mobile devices are not used.)."
210,Domain 3 Protection,3.3 Data protection,3.3.1 End point data security,Intermediate,"Data governance is in place to identify the encryption requirements and oversee the effective implementation of cryptographic functions across data at-rest, data in-transit and data in-use."
211,Domain 3 Protection,3.3 Data protection,3.3.1 End point data security,Advanced,"Confidential data and applications on mobile devices are only accessible via a secure, isolated sandbox or a secure container."
212,Domain 3 Protection,3.3 Data protection,3.3.2 Data protection,Baseline,Confidential data is encrypted when transmitted across public or untrusted networks (e.g. the Internet).
213,Domain 3 Protection,3.3 Data protection,3.3.2 Data protection,Baseline,Data classification and risk assessment policies include statements of the criteria for encryption of selected data at-rest and data in-transit.
214,Domain 3 Protection,3.3 Data protection,3.3.2 Data protection,Baseline,"Mobile devices (e.g. laptops, tablets, and removable media) are encrypted if used to store confidential data. (*N/A if mobile devices are not used.)."
215,Domain 3 Protection,3.3 Data protection,3.3.2 Data protection,Baseline,"Use of customer data in non-production environments (e.g. testing environment) complies with legal, regulatory, and internal policy requirements for concealing or removing sensitive data elements."
216,Domain 3 Protection,3.3 Data protection,3.3.2 Data protection,Baseline,Polices and processes are in place to dispose of or destroy data within time frames required by applicable laws and compliance requirements.
217,Domain 3 Protection,3.3 Data protection,3.3.2 Data protection,Intermediate,Tools have been adopted to prevent and/or detect unauthorised access to or exfiltration of confidential data.
218,Domain 3 Protection,3.3 Data protection,3.3.2 Data protection,Advanced,Confidential data is encrypted in transit across private connections (e.g. frame relay and T1) and within the trusted zones.
219,Domain 3 Protection,3.4 Secure development,N/A,Baseline,A framework has been established to manage the system development life cycle (“SDLC”).
220,Domain 3 Protection,3.4 Secure development,N/A,Baseline,"The SDLC framework covers the processes, procedures, and controls required across several phases or activities, including planning, requirement gathering, design, implementation, and testing."
221,Domain 3 Protection,3.4 Secure development,N/A,Baseline,"Policies are in place to ensure DevOps policies and procedures are aligned with the SDLC framework and IT service management processes (e.g. configuration management, patch and change management, etc.)."
222,Domain 3 Protection,3.4 Secure development,N/A,Baseline,"Policies are in place to ensure secure coding, source code review, and application security testing standards are applied during Agile software development."
223,Domain 3 Protection,3.4 Secure development,N/A,Baseline,"Security requirements, including access control, authentication, authorisation, data integrity, logging, security event tracking, and exception handling, are embedded into every phase or activity of the SDLC."
224,Domain 3 Protection,3.4 Secure development,N/A,Baseline,"Based on risk-based approach (*N/A as appropriate):
- Security controls of internally developed software are periodically reviewed and tested.
- Security controls of internally developed software code are reviewed before migrating the code to production.
- Security testing occurs in all post-design phases or activities (e.g. unit testing, system integration testing, user acceptance testing) of the SDLC for applications."
225,Domain 3 Protection,3.4 Secure development,N/A,Baseline,A control process is in place to review and assess the need to hold the intellectual property and production code in escrow. (*N/A as appropriate).
226,Domain 3 Protection,3.4 Secure development,N/A,Intermediate,The security criteria for each phase or activities are documented and referenced throughout the SDLC.
227,Domain 3 Protection,3.4 Secure development,N/A,Intermediate,Processes are in place to mitigate vulnerabilities identified as part of the secure development of systems and applications.
228,Domain 3 Protection,3.4 Secure development,N/A,Intermediate,"The security of applications, including those connected to the Internet and have application programming interfaces (APIs), are tested based on a risk-based approach against known types of cyber attacks (e.g. from OWASP Top 10) before implementation, or following significant changes."
229,Domain 3 Protection,3.4 Secure development,N/A,Advanced,"Strict change control and release management processes are in place that require security criteria to be met before each phase or activity of the SDLC is completed, extending to both internal systems and externally procured systems for critical functions."
230,Domain 3 Protection,3.4 Secure development,N/A,Advanced,All interdependencies between applications and services have been identified and reviewed for adequacy.
231,Domain 3 Protection,3.4 Secure development,N/A,Advanced,"Based on a risk-based approach and focusing on high-risk applications, vulnerabilities identified through code reviews and/or static code analyses are conducted on internally developed or vendor-provided custom applications to ensure that there are no security gaps before deploying into production."
232,Domain 3 Protection,3.4 Secure development,N/A,Advanced,"In addition to applications connected to the Internet, a risk-based approach is used to test the security of internal applications as well as any APIs against known types of cyber attacks (e.g. OWASP Top 10) before implementation or following significant changes."
233,Domain 3 Protection,3.5 Patch and change management,3.5.1 Patch management programme,Baseline,A patch management programme has been implemented to ensure that software and firmware patches are applied promptly.
234,Domain 3 Protection,3.5 Patch and change management,3.5.1 Patch management programme,Baseline,Systems are configured to retrieve patches from the official sources in a pre-defined patch window.
235,Domain 3 Protection,3.5 Patch and change management,3.5.1 Patch management programme,Baseline,Patch management reports are reviewed and reflect missing security patches across all environments.
236,Domain 3 Protection,3.5 Patch and change management,3.5.1 Patch management programme,Baseline,A proper follow-up process is in place to classify actions based on priority and track actions to timely closure.
237,Domain 3 Protection,3.5 Patch and change management,3.5.1 Patch management programme,Intermediate,Tools and/or processes are in place to identify missing security patches and the number of days since each patch became available.
238,Domain 3 Protection,3.5 Patch and change management,3.5.1 Patch management programme,Advanced,"Patch monitoring software is installed on all servers to identify any patches missing for operating system software, middleware, database, and other key software."
239,Domain 3 Protection,3.5 Patch and change management,3.5.1 Patch management programme,Advanced,Patch management reports are reviewed to ensure that security patches are tested and implemented within aggressive time frames (e.g. 0-30 days).
240,Domain 3 Protection,3.5 Patch and change management,3.5.2 Patch assessment and testing,Baseline,Patches are tested before being applied to systems and/or software.
241,Domain 3 Protection,3.5 Patch and change management,3.5.2 Patch assessment and testing,Baseline,"A formal process is in place to acquire, test, and deploy software patches based on criticality."
242,Domain 3 Protection,3.5 Patch and change management,3.5.2 Patch assessment and testing,Intermediate,The operational impact of applying security patches is evaluated before deploying them.
243,Domain 3 Protection,3.5 Patch and change management,3.5.2 Patch assessment and testing,Intermediate,A backlog of vulnerabilities is maintained and regularly reviewed to keep track of outstanding items.
244,Domain 3 Protection,3.5 Patch and change management,3.5.2 Patch assessment and testing,Intermediate,The outstanding vulnerabilities in the backlog is presented regularly to Senior Management on a risk-based approach for their understanding and endorsement.
245,Domain 3 Protection,3.5 Patch and change management,3.5.2 Patch assessment and testing,Advanced,"Automation and categorisation (e.g. automated prioritisation of remediation based on the inherent risk of the systems, supported by threat intelligence where applicable) are leveraged to facilitate large scale and rapid patching."
246,Domain 3 Protection,3.5 Patch and change management,3.5.3 Change management process,Baseline,"A change management process is in place to request and approve changes to IT system configurations, hardware, software, applications, and security tools."
247,Domain 3 Protection,3.5 Patch and change management,3.5.3 Change management process,Intermediate,"Formal change requests, documented approvals and assessment of security implications are required for any changes to the baseline IT configurations."
248,Domain 3 Protection,3.5 Patch and change management,3.5.3 Change management process,Intermediate,"There is a formal change management process requiring cybersecurity risk to be evaluated during the analysis, approval, testing, implementation, and reporting of changes."
249,Domain 3 Protection,3.5 Patch and change management,3.5.3 Change management process,Intermediate,"An authorised individual or committee with appropriate knowledge, authority, and separation of duties formally approves changes."
250,Domain 3 Protection,3.5 Patch and change management,3.5.3 Change management process,Advanced,The change management system has pre-defined thresholds for determining whether and when a cyber risk assessment of the impact of the change is required.
251,Domain 3 Protection,3.5 Patch and change management,3.5.3 Change management process,Advanced,Tools have been implemented to detect and block any unauthorised changes to software and hardware.
252,Domain 3 Protection,3.6 Remediation management,N/A,Baseline,"Issues identified in cyber risk assessments are prioritised and resolved based on criticality, and within the time frames established in response to the assessment report."
253,Domain 3 Protection,3.6 Remediation management,N/A,Baseline,Formal processes are in place to resolve weaknesses identified during penetration/simulation testing.
254,Domain 3 Protection,3.6 Remediation management,N/A,Baseline,Remediation efforts are confirmed by conducting a follow-up vulnerability scan.
255,Domain 3 Protection,3.6 Remediation management,N/A,Intermediate,The simulation testing is repeated to confirm that medium- and high-risk exploitable vulnerabilities have been resolved.
256,Domain 3 Protection,3.6 Remediation management,N/A,Advanced,The maintenance and repair of organisational assets are performed by authorised individuals with approved and controlled tools.
257,Domain 3 Protection,3.6 Remediation management,N/A,Advanced,The maintenance and repair of organisational assets are logged and reviewed promptly.
258,Domain 3 Protection,3.6 Remediation management,N/A,Advanced,"All critical and high-risk issues identified in the penetration/simulation testing, vulnerability scanning, and other security testing activities, as well as due to remediation ineffectiveness and/or undesirable testing results, are escalated to the Board or an appropriate Board Committee for risk acceptance with adequate mitigating measures if not resolved promptly."
259,Domain 4 Detection,4.1 Vulnerability detection,4.1.1 Antivirus and anti-malware,Baseline,Antivirus and anti-malware tools used to detect attacks and protect devices are updated automatically.
260,Domain 4 Detection,4.1 Vulnerability detection,4.1.1 Antivirus and anti-malware,Baseline,E-mail protection mechanisms are used to filter for common cyber threats (e.g. attached malware or malicious links).
261,Domain 4 Detection,4.1 Vulnerability detection,4.1.1 Antivirus and anti-malware,Intermediate,Behavioural analysis is automatically conducted through implemented processes and tools (e.g. sandboxing) for e-mails and attachments to detect for and block against malware when present.
262,Domain 4 Detection,4.1 Vulnerability detection,4.1.1 Antivirus and anti-malware,Advanced,Endpoint protection mechanisms are centrally managed.
263,Domain 4 Detection,4.1 Vulnerability detection,4.1.1 Antivirus and anti-malware,Advanced,"There are automatic updates to endpoint protection mechanisms, including but not limited to user behavioural detection rules and signature definitions."
264,Domain 4 Detection,4.1 Vulnerability detection,4.1.2 Penetration / Simulation Testing,Baseline,Penetration testing and vulnerability scanning are conducted and analysed routinely according to the risk assessment for business systems and the internal network.
265,Domain 4 Detection,4.1 Vulnerability detection,4.1.2 Penetration / Simulation Testing,Baseline,Penetration testing is performed on web-based systems or devices before they are launched or undergo significant changes.
266,Domain 4 Detection,4.1 Vulnerability detection,4.1.2 Penetration / Simulation Testing,Intermediate,A combination of penetration testing and vulnerability scanning is conducted routinely on a risk-based approach to determine security gaps before deployment into production.
267,Domain 4 Detection,4.1 Vulnerability detection,4.1.2 Penetration / Simulation Testing,Intermediate,"Simulation testing is conducted on a regular basis or after significant system, technology, third-party, or business changes that could lead to material increase of the associated risks particularly the security risk and system availability of the service."
268,Domain 4 Detection,4.1 Vulnerability detection,4.1.2 Penetration / Simulation Testing,Intermediate,Audit or risk management resources review the simulation testing scope and results to help determine the need for rotating companies based on the quality of the work.
269,Domain 4 Detection,4.1 Vulnerability detection,4.1.2 Penetration / Simulation Testing,Intermediate,Vulnerability scanning is rotated to scan all high-risk systems in production environment throughout the year.
270,Domain 4 Detection,4.1 Vulnerability detection,4.1.2 Penetration / Simulation Testing,Advanced,A process is in place to conduct vulnerability scanning across endpoints on a risk-based approach.
271,Domain 4 Detection,4.2 Anomalies activity detection,4.2.1 Log monitoring and analysis,Baseline,Logs of physical and/or logical access are reviewed following events.
272,Domain 4 Detection,4.2 Anomalies activity detection,4.2.1 Log monitoring and analysis,Baseline,Access to critical systems by third parties is monitored.
273,Domain 4 Detection,4.2 Anomalies activity detection,4.2.1 Log monitoring and analysis,Baseline,Activities performed by privileged IDs are monitored.
274,Domain 4 Detection,4.2 Anomalies activity detection,4.2.1 Log monitoring and analysis,Baseline,Time synchronisation with a centralised and secure time source (such as an NTP server) is in place for the production environment.
275,Domain 4 Detection,4.2 Anomalies activity detection,4.2.1 Log monitoring and analysis,Baseline,"Systems or devices are in place to detect anomalous behaviour by customers, employees, and third-parties during the authentication process."
276,Domain 4 Detection,4.2 Anomalies activity detection,4.2.1 Log monitoring and analysis,Baseline,"Based on a risk-based approach, audit log records and other security event logs are reviewed regularly and retained securely."
277,Domain 4 Detection,4.2 Anomalies activity detection,4.2.1 Log monitoring and analysis,Baseline,Logs are available that provide traceability for all system access by individual users.
278,Domain 4 Detection,4.2 Anomalies activity detection,4.2.1 Log monitoring and analysis,Baseline,Logging practices and thresholds for security logging are reviewed periodically to ensure that appropriate log management is in place.
279,Domain 4 Detection,4.2 Anomalies activity detection,4.2.1 Log monitoring and analysis,Intermediate,Audit logs are backed up to a centralised log server or media to prevent unauthorised changes to the logs.
280,Domain 4 Detection,4.2 Anomalies activity detection,4.2.2 Security information and event management,Baseline,A process is in place to detect anomalous activities through monitoring across the environment.
281,Domain 4 Detection,4.2 Anomalies activity detection,4.2.2 Security information and event management,Baseline,Thresholds have been established to determine activity within logs that warrant management response.
282,Domain 4 Detection,4.2 Anomalies activity detection,4.2.2 Security information and event management,Intermediate,"Tools to detect unauthorised data mining (e.g. network traffic sniffer, data loss prevention tools, etc.) are installed."
283,Domain 4 Detection,4.2 Anomalies activity detection,4.2.2 Security information and event management,Intermediate,Tools actively monitor security logs for anomalous behaviour and provide alerts within established parameters.
284,Domain 4 Detection,4.2 Anomalies activity detection,4.2.2 Security information and event management,Intermediate,Processes are in place to monitor potential and unusual insider activities that could lead to data theft or destruction.
285,Domain 4 Detection,4.2 Anomalies activity detection,4.2.2 Security information and event management,Intermediate,Security audit logs for key systems and endpoints should be readily available for review (e.g. within SIEM) which cover an adequate period for incident response investigation.
286,Domain 4 Detection,4.2 Anomalies activity detection,4.2.2 Security information and event management,Advanced,Alerts for anomalous activities and other network and system alerts are correlated across business units to detect and prevent multi-faceted attacks (e.g. a simultaneous account takeover and DDoS attack).
287,Domain 4 Detection,4.2 Anomalies activity detection,4.2.2 Security information and event management,Advanced,"A system is in place to monitor and analyse employee behaviour (e.g. network use patterns, work hours, and known devices) and provide alerts for anomalous activities."
288,Domain 4 Detection,4.2 Anomalies activity detection,4.2.2 Security information and event management,Advanced,Measures for monitoring sensitive data or files have been implemented to prevent losses.
289,Domain 4 Detection,4.2 Anomalies activity detection,4.2.2 Security information and event management,Advanced,Technical measures apply defence-in-depth techniques for detection and timely response to network-based attacks associated with anomalous ingress or egress traffic patterns and/or DDoS attacks.
290,Domain 4 Detection,4.2 Anomalies activity detection,4.2.3 Customer transaction monitoring,Baseline,Customer transactions generating anomalous activity alerts are monitored and reviewed.
291,Domain 4 Detection,4.2 Anomalies activity detection,4.2.3 Customer transaction monitoring,Baseline,Online customer transactions are actively monitored for anomalous behaviour.
292,Domain 4 Detection,4.2 Anomalies activity detection,4.2.3 Customer transaction monitoring,Intermediate,An automated tool triggers system alerts and/or fraud alerts when customer logins occur within a short period of time but from physically distant IP locations.
293,Domain 4 Detection,4.2 Anomalies activity detection,4.2.3 Customer transaction monitoring,Advanced,External transfers from customer accounts generate alerts and require review and authorisation if anomalous behaviour is detected.
294,Domain 4 Detection,4.3 Cyber incident detection,4.3.1 Event monitoring,Baseline,"Processes are in place to monitor for the presence of unauthorised users, devices, connections, and software in both physical and logical environments."
295,Domain 4 Detection,4.3 Cyber incident detection,4.3.1 Event monitoring,Baseline,Responsibilities for monitoring and reporting suspicious systems activities have been assigned.
296,Domain 4 Detection,4.3 Cyber incident detection,4.3.1 Event monitoring,Baseline,The physical environment is monitored to detect potential unauthorised access.
297,Domain 4 Detection,4.3 Cyber incident detection,4.3.1 Event monitoring,Baseline,"A process is in place to correlate event information from multiple sources (e.g. networks, applications, firewalls, or endpoints)."
298,Domain 4 Detection,4.3 Cyber incident detection,4.3.1 Event monitoring,Intermediate,A normal network activity baseline has been established.
299,Domain 4 Detection,4.3 Cyber incident detection,4.3.1 Event monitoring,Intermediate,Controls or tools (e.g. data loss prevention) are in place to detect potential unauthorised or unintentional transmissions of confidential data.
300,Domain 4 Detection,4.3 Cyber incident detection,4.3.1 Event monitoring,Intermediate,Security monitoring is in place for critical assets.
301,Domain 4 Detection,4.3 Cyber incident detection,4.3.1 Event monitoring,Advanced,"Processes and solutions which evaluates for malicious behaviour (e.g. user and entity behavioural analytics, EDR solutions, etc.)and does not rely on just signature-based technologies to track known threats are in place to enhance the effectiveness of malware detection."
302,Domain 4 Detection,4.3 Cyber incident detection,4.3.2 Detection and alert,Baseline,"Mechanisms (e.g. antivirus alerts, log event alerts, etc.) are in place to alert the security monitoring function and management to potential attacks."
303,Domain 4 Detection,4.3 Cyber incident detection,4.3.2 Detection and alert,Baseline,Alert parameters are set for detecting cyber incidents that prompt mitigating actions.
304,Domain 4 Detection,4.3 Cyber incident detection,4.3.2 Detection and alert,Baseline,System performance reports contain information that can be used as a risk indicator to detect cyber incidents.
305,Domain 4 Detection,4.3 Cyber incident detection,4.3.2 Detection and alert,Baseline,"Tools and processes are in place from multiple sources (e.g. networks, applications, firewalls, or endpoints) to detect, alert, and trigger the incident response programme whenever anomalous behaviours of insider activities, attack patterns or signatures are detected."
306,Domain 4 Detection,4.3 Cyber incident detection,4.3.2 Detection and alert,Intermediate,"A process is in place to discover infiltration, before an attacker can traverse across systems, establish a foothold, steal information, or cause damage to data and systems."
307,Domain 4 Detection,4.3 Cyber incident detection,4.3.2 Detection and alert,Intermediate,"Endpoint behavioural detection capabilities (e.g. EDR solutions) should be available on endpoints (i.e. user workstations, laptop and servers) with reasonable coverage."
308,Domain 4 Detection,4.3 Cyber incident detection,4.3.2 Detection and alert,Intermediate,Incidents are detected in real-time through automated processes that include instant alerts to appropriate personnel who can respond immediately such as the security monitoring function.
309,Domain 4 Detection,4.3 Cyber incident detection,4.3.2 Detection and alert,Intermediate,Network and system alerts are correlated across business units to better detect and prevent multifaceted attacks.
310,Domain 4 Detection,4.3 Cyber incident detection,4.3.2 Detection and alert,Intermediate,"Resources are in place to achieve continuous detection and response (i.e. 24x7), including the detection, investigation, and root cause analysis of the sophisticated threat activity, to performing the appropriate response activities in a prompt manner."
311,Domain 4 Detection,4.3 Cyber incident detection,4.3.2 Detection and alert,Advanced,"Automated tools are installed to detect unauthorised changes to critical system files, firewalls, IPS, IDS, or other security devices."
312,Domain 4 Detection,4.3 Cyber incident detection,4.3.2 Detection and alert,Advanced,Endpoint behavioural detection capabilities (e.g. EDR solutions) should be available on all critical systems with reasonable coverage. Coverage should include key servers within the critical systems.
313,Domain 4 Detection,4.3 Cyber incident detection,4.3.2 Detection and alert,Advanced,Real-time network monitoring and detection tools have been implemented.
314,Domain 4 Detection,4.3 Cyber incident detection,4.3.2 Detection and alert,Advanced,Tools are in place to actively correlate event information from multiple sources and send alerts based on established parameters.
315,Domain 4 Detection,4.3 Cyber incident detection,4.3.2 Detection and alert,Advanced,Incident detection processes are in place and have the capability of correlating events across the enterprise.
316,Domain 4 Detection,4.4 Threat monitoring and analysis,N/A,Baseline,Processes are in place to monitor threat intelligence to identify emerging threats.
317,Domain 4 Detection,4.4 Threat monitoring and analysis,N/A,Intermediate,The threat intelligence and analysis processes are assigned to a specific group or individual.
318,Domain 4 Detection,4.4 Threat monitoring and analysis,N/A,Intermediate,"A Security Operations Centre (SOC) with cyber-surveillance and incident response capability, or in other equivalent service, has been established to centralise and coordinate security processes and technologies."
319,Domain 4 Detection,4.4 Threat monitoring and analysis,N/A,Intermediate,Monitoring systems operate continuously (i.e. 24x7) with adequate support for efficient incident handling.
320,Domain 4 Detection,4.4 Threat monitoring and analysis,N/A,Advanced,Threat intelligence sources that address all components of the threat profile are prioritised and monitored.
321,Domain 4 Detection,4.4 Threat monitoring and analysis,N/A,Advanced,Threat intelligence is analysed to develop threat summary reports including cyber risk details and specific actions.
